"restaurant name","country code",city,long,lat,cuisines,booking,online_delivery,delivery,price,rating
"Burt's Butcher Shoppe and Eatery",216,Columbus,-84.947569,32.504657,Steak,No,No,No,25,4.3
"Chef Lee's Peking Restaurant",216,Columbus,-84.9607,32.5393,Chinese,No,No,No,25,4
"Country's Barbecue",216,Columbus,-84.9464,32.4792,"BBQ, Southern",No,No,No,25,4
Deorio's,216,Columbus,-84.9427,32.481,"Italian, Pizza",No,No,No,0,4
"Mellow Mushroom",216,Columbus,-84.9557,32.5321,Pizza,No,No,No,25,4.1
Meritage,216,Columbus,-84.992093,32.466158,"American, Tapas",No,No,No,40,4.1
"Mongo The Mongolian Fire Pit",216,Columbus,-84.938698,32.560905,"Asian, Chinese",No,No,No,10,4.2
"The Black Cow",216,Columbus,-84.991384,32.468757,American,No,No,No,25,4.3
"Wood Stone",216,Columbus,-84.963201,32.527217,"Italian, Mediterranean, Pizza",No,No,No,40,4
"Hunter's Pub",216,Columbus,-85.0213,32.7455,"American, Seafood, Steak",No,No,No,40,4.4
"Consort Restaurant",37,Consort,-110.7746994,52.0082889,"Chinese, Canadian",No,No,No,25,3
"Thatcher's Barbeque and Grill",216,Dalton,-84.9396931,34.5251331,"American, BBQ, Southern",No,No,No,25,3.7
"Christian and Jake's Bistro",216,Dalton,-84.926258,34.474635,"Desserts, Sandwich",No,No,No,10,4.4
"Dub's High on the Hog",216,Dalton,-84.9523921,34.4972488,BBQ,No,No,No,25,4.4
"Sierra's Mexican Restaurant",216,Dalton,-84.767911,34.752476,"Mexican, Tex-Mex",No,No,No,10,3.9
"Oakwood Cafe",216,Dalton,-84.969393,34.769686,"BBQ, Breakfast, Southern",No,No,No,10,4.9
"Chili's Grill & Bar",216,Dalton,-85.0039,34.7643,American,No,No,No,25,3.8
"Fuji Japanese Steakhouse",216,Dalton,-84.992342,34.759551,"Japanese, Sushi",No,No,No,40,3.8
"Las Palmas",216,Dalton,-84.992924,34.759665,Mexican,No,No,No,10,3.8
"Tony's Italian Restaurant & Pizza",216,Dalton,-84.999678,34.758645,Italian,No,No,No,25,3.7
"Filling Station",216,Dalton,-84.9678,34.7742,"American, Burger",No,No,No,10,4.1
"Five Guys Burgers and Fries",216,Dalton,-84.990925,34.759273,"Fast Food",No,No,No,10,4.1
"Los Pablos",216,Dalton,-84.9964,34.7604,Mexican,No,No,No,10,4.1
"Kobe Hibachi & Sushi",216,Dalton,-85.2229101,34.9428786,"American, Japanese, Sushi",No,No,No,25,4.6
"Soho Hibachi",216,Dalton,-85.246237,34.9528157,Japanese,No,No,No,10,4.3
"Thai Garden",216,Dalton,-85.2545,34.9546,Thai,No,No,No,25,4.2
"Southern Bliss Bakery",216,Dalton,-85.294955,34.705093,"Desserts, Sandwich",No,No,No,10,3.7
"Bailey's Bar-B-Que",216,Dalton,-85.1321,34.9273,BBQ,No,No,No,10,4.1
"Farm To Fork",216,Dalton,-85.130492,34.912109,"American, Diner, Southern",No,No,No,10,4.3
"Home Plate Grill",216,Dalton,-85.1079396,34.9151853,"American, BBQ, Southern",No,No,No,10,4.2
"Pie Slingers Pizzeria",216,Dalton,-85.249727,34.851907,"Italian, Pizza",No,No,No,10,4.1
"Olive Tree Cafe",216,Davenport,-90.496986,41.574935,"Indian, Mediterranean, Middle Eastern",No,No,No,25,4.6
"Red Ginger Sushi, Grill & Bar",216,Davenport,-90.522479,41.53845,"Sushi, Teriyaki",No,No,No,40,4.5
"Crust Stone Oven Pizza",216,Davenport,-90.4912446,41.5747801,"Burger, Pizza",No,No,No,25,3.9
"Jimmy's Pancake House",216,Davenport,-90.504176,41.548746,"American, Breakfast, Greek",No,No,No,10,4
"Trattoria Tiramisu",216,Davenport,-90.50709,41.525384,Italian,No,No,No,25,4.1
"Prairie Grille at SteepleGate Inn",216,Davenport,-90.574088,41.593892,"American, Breakfast",No,No,No,25,3.4
"Tantra Asian Bistro",216,Davenport,-90.565837,41.574459,Asian,No,No,No,25,4.9
Chick-fil-A,216,Davenport,-90.5716,41.5604,"Fast Food",No,No,No,10,3.9
"Duck City Bistro",216,Davenport,-90.5737,41.5223,"American, French",No,No,No,70,3.7
"Frick's Tap",216,Davenport,-90.59466452,41.52253634,"American, Bar Food, BBQ",No,No,No,25,0
"Los Agaves",216,Davenport,-90.5154313,41.5709434,Mexican,No,No,No,25,0
Azteca,216,Davenport,-90.5683,41.5699,Mexican,No,No,No,0,4.3
"China Cafe",216,Davenport,-90.5321,41.5749,Chinese,No,No,No,25,4
"Exotic Thai Restaurant",216,Davenport,-90.5432,41.5747,Thai,No,No,No,25,4.1
"Front Street Brewery",216,Davenport,-90.572418,41.520389,American,No,No,No,10,4.3
"Granite City Food & Brewery",216,Davenport,-90.5137,41.5745,American,No,No,No,25,4
"Los Agaves",216,Davenport,-90.5686,41.559,Mexican,No,No,No,25,4.1
"Machine Shed Restaurant",216,Davenport,-90.6136,41.5944,American,No,No,No,25,4.1
Osaka,216,Davenport,-90.515175,41.570997,"Japanese, Sushi",No,No,No,40,4.2
"Texas Roadhouse",216,Davenport,-90.517,41.5747,"American, BBQ, Steak",No,No,No,25,4.2
"Hickory Park",216,"Des Moines",-93.610084,42.010254,"BBQ, Burger, Desserts",No,No,No,25,4.5
"The Cafe",216,"Des Moines",-93.643094,42.048779,"American, Coffee and Tea",No,No,No,25,4.9
"Flying Mango",216,"Des Moines",-93.677638,41.614965,"BBQ, Caribbean, Cajun",No,No,No,40,4.5
"Cool Basil",216,"Des Moines",-93.739573,41.600564,"Asian, Sushi, Thai",No,No,No,25,4.1
"HuHot Mongolian Grill",216,"Des Moines",-93.760027,41.60028,"Asian, Chinese",No,No,No,25,4
Malo,216,"Des Moines",-93.627896,41.583309,"Latin American, Mexican",No,No,No,25,3.2
Centro,216,"Des Moines",-93.6300803,41.5857431,"Italian, Pizza",No,No,No,40,4.5
