YM,brand,product,category,pu,rev
2020-09,bosch,863795,construction.tools.drill,1,230.2
2020-09,brother,462236,computers.peripherals.printer,1,892.23
2020-09,brother,462241,computers.peripherals.printer,1,224.76
2020-09,buro,450199,,1,136.59
2020-09,cactus,54953,stationery.cartrige,1,39.56
2020-09,cactus,54984,stationery.cartrige,1,22.68
2020-09,cactus,59240,computers.peripherals.printer,1,18.1
2020-09,cactus,66111,stationery.cartrige,1,20.44
2020-09,cactus,66112,stationery.cartrige,1,21.24
2020-09,cactus,71346,stationery.cartrige,1,33.78
2020-09,cactus,73710,stationery.cartrige,1,22.79
2020-09,cactus,281925,stationery.cartrige,1,74.19
2020-09,cactus,281926,stationery.cartrige,1,24.73
2020-09,cactus,281931,stationery.cartrige,1,24.73
2020-09,cactus,281932,stationery.cartrige,1,24.73
2020-09,cactus,861964,computers.peripherals.printer,1,21.3
2020-09,cactus,1013354,stationery.cartrige,1,23.4
2020-09,cactus,1246728,stationery.cartrige,1,20.14
2020-09,cactus,1246730,stationery.cartrige,1,20.14
2020-09,cactus,1246731,stationery.cartrige,1,20.14
2020-09,cactus,1246732,stationery.cartrige,1,20.14
2020-09,cactus,4099078,,1,23.22
2020-09,camelion,3605157,construction.tools.light,1,75.97
2020-09,cameronsino,1784781,,2,77.13
2020-09,cameronsino,3791083,,1,68.88
2020-09,cameronsino,3830406,,1,12.43
2020-09,cameronsino,3830556,,1,21.75
2020-09,canon,775675,computers.peripherals.printer,1,196.74
2020-09,canon,1454357,computers.peripherals.printer,1,279.02
2020-09,canon,1785245,stationery.cartrige,11,603.5400000000001
2020-09,canon,1785246,stationery.cartrige,5,271.44
2020-09,canon,1804326,computers.peripherals.printer,1,453.4
2020-09,canon,3759997,computers.peripherals.printer,5,2314.3200000000006
2020-09,canon,3760001,computers.peripherals.printer,2,629.36
2020-09,canon,3760003,computers.peripherals.printer,1,322.57
2020-09,canon,3790736,computers.peripherals.printer,1,163.52
2020-09,canyon,1795171,computers.peripherals.camera,1,39.75
2020-09,casio,307908,electronics.calculator,1,17.25
2020-09,cbr,539794,computers.peripherals.camera,1,13.17
2020-09,cbr,611554,computers.peripherals.camera,1,12.94
2020-09,cbr,620292,computers.peripherals.camera,1,39.51
2020-09,cbr,1443880,computers.peripherals.joystick,2,78.51
2020-09,chieftec,456860,computers.components.power_supply,1,81.54
2020-09,chieftec,952889,computers.components.power_supply,1,65.16
2020-09,codyson,841972,,1,115.4
2020-09,content,3830296,computers.peripherals.printer,1,13.89
2020-09,cooler,868330,computers.components.cooler,1,35.67
2020-09,corsair,907146,computers.components.power_supply,1,143.41
2020-09,corsair,1444868,computers.components.power_supply,1,142.38
2020-09,crown,1513378,computers.notebook,1,28.73
2020-09,d-link,1586457,,1,17.29
2020-09,d-link,1622146,computers.network.router,1,42.17
2020-09,d-link,4183827,computers.peripherals.wifi,1,50.79
2020-09,dewalt,893413,,1,54.44
2020-09,dialog,908273,electronics.audio.acoustic,1,107.33
2020-09,digma,1013031,electronics.audio.acoustic,1,23.17
2020-09,digma,1716039,electronics.tablet,1,256.81
2020-09,digma,1735640,electronics.video.projector,1,503.84
2020-09,digma,4156062,electronics.tablet,2,431.16
2020-09,dyp,1660244,electronics.telephone,1,1.57
2020-09,edifier,124712,electronics.audio.acoustic,2,409.58
2020-09,edifier,471297,electronics.audio.acoustic,1,24.68
2020-09,edifier,1271550,electronics.audio.acoustic,2,254.67000000000002
2020-09,edifier,1724625,electronics.audio.acoustic,1,1299.7
2020-09,elp,885519,computers.peripherals.printer,1,16.4
2020-09,epson,13327,computers.peripherals.scanner,1,328.66
